| Date                   | Person/Event                | Description |
| 15 February 1564 - 8 January 1642   | Galileo Galilei          | Italian physicist, mechanic, astronomer, philosopher, mathematician. Significantly influenced the science of his time. |
| 16 February 1834 - 9 August 1919    | Ernst Haeckel            | German biologist-evolutionist. Coined terms like "Pithecanthropus", "phylogeny", "ontogeny", and "ecology". |
| 17 February 1901 - 1 April 1981     | Agniya Barto             | Russian poetess. Author of poems for children. |
| 18 February 1930                  | Discovery of Pluto        | American astronomer Clyde Tombaugh discovered a new planet at the Lowell Observatory. |
| 18 February 1745 - 5 March 1827     | Alessandro Volta         | Italian physicist, chemist, and physiologist. One of the founders of the theory of electricity. |
| 18 February 1898 - 14 August 1988   | Enzo Anselmo Giuseppe Ferrari | Italian designer, entrepreneur, and racing driver. Founder of the Ferrari automobile manufacturing company and the racing team of the same name. |
| 19 February 1473 - 24 May 1543      | Nicolaus Copernicus      | Polish astronomer, mathematician, mechanic, economist. Known as the author of the heliocentric system of the world, which initiated the first scientific revolution. |
| 19 February                       | World Whale Day          | Established in 1986. A day dedicated to protecting not only whales but all marine mammals and various other living creatures inhabiting the seas and oceans of our planet. |
| 20 February 1844 - 5 September 1906 | Ludwig Boltzmann         | Austrian theoretical physicist. One of the founders of statistical physics and physical kinetics. |
| 22 February 1857 - 1 January 1894   | Heinrich Rudolf Hertz    | German physicist. One of the founders of electrodynamics. Hertz proved the existence of electromagnetic waves. |
| 22 February 1788 - 21 September 1860 | Arthur Schopenhauer      | German philosopher. One of the most famous thinkers of irrationalism, misanthrope. |
| 23 February 1879 - 15 May 1935      | Kazimir Malevich         | Russian abstract artist. Founder of Suprematism, one of the major directions of abstractionism. |
| 23 February 1685 - 14 April 1759    | George Frideric Handel   | German and English composer. Known for his operas, oratorios, and concerts. |
| 24 February 1786 - 16 December 1859 | Wilhelm Grimm            | German philologist. One of the Brothers Grimm, aimed at reviving public and scientific interest in folk culture (folklore). |
| 24 February 1955 - 5 October 2011   | Steven Paul Jobs         | American entrepreneur, inventor, and industrial designer. Founder and leader of Apple Corporation. One of the founders of Pixar. |
| 24 February 1745 - 14 October 1817  | Fyodor Ushakov           | Outstanding naval commander. Ushakov won five major naval battles and did not suffer a single defeat. |
| 25 February 1943 - 29 November 2001 | George Harrison          | English rock musician. Guitarist of The Beatles. |
| 25 February 1909 - 1 March 1973     | Lev Artsimovich          | Soviet physicist, academician. Under his leadership, the first thermonuclear reactor model - "Tokamak" - was created. |
| 25 February 1873 - 2 August 1921    | Enrico Caruso            | Italian opera singer (tenor). Known for performing roles in operas by Giuseppe Verdi, "Il Trovatore", "Un ballo in maschera", "Aida", Leoncavallo "Pagliacci", Puccini "La Fanciulla del West". |
| 26 February 1802 - 22 May 1885      | Victor Marie Hugo        | French romantic writer. Wrote "The Hunchback of Notre-Dame", "Les Misérables", etc. |
| 26 February 1829 - 26 September 1902 | Levi Strauss             | American industrialist. Inventor of jeans. |
| 26 February 1869 - 27 February 1939 | Nadezhda Krupskaya       | Russian revolutionary. Wife of V.I. Lenin. |
| 27 February                      | International Polar Bear Day | Aimed at raising awareness about polar bears and drawing attention to the need for their protection. |
| 27 February 1887 - 8 September 1914 | Pyotr Nesterov           | Russian military pilot. Founder of aerobatics. |
| 28 February 1066                 | Opening of Westminster Abbey | Gothic church in Westminster (London), the traditional site of the coronation of British monarchs. |
| 28 February 1683 - 17 October 1757  | René Antoine Ferchault de Réaumur | French physicist and mathematician. Discovered that wasps use plant fibers for nest construction, similar to cardboard. Concluded that paper can be made from wood. |
| 28 February 1802 - 22 September 1861 | Ernst Friedrich Zwirner  | German architect. Creator of the Cologne Cathedral. |
