| Date                        | Person/Event                     | Description |
| 23 November 1908 - 26 July 1976    | Nikolay Nikolaevich Nosov       | Soviet children's writer, playwright, and screenwriter, author of the trilogy about Dunno |
| 26 November 1607 - 14 September 1638 | John Harvard                    | English Christian preacher, Harvard University was named in his honor |
| 24 November 1729 - 18 May 1800     | Alexander Vasilyevich Suvorov   | Russian generalissimo, greatest Russian military leader, never lost a battle in his career, led over 60 battles and engagements |
| 25 November 1844 - 4 April 1929    | Karl Friedrich Michael Benz     | German engineer and inventor, pioneer in automobile construction, tested the first automobile in 1885, the Daimler logo represents "Engines for land, air, and water" |
| 26 November 1894 - 18 March 1964   | Norbert Wiener                  | American mathematician, one of the founders of cybernetics and artificial intelligence theory |
| 28 November 1880 - 7 August 1921   | Alexander Alexandrovich Blok    | Russian poet of the Silver Age, writer, publicist, playwright, translator, and literary critic, one of the leading representatives of Russian symbolism |
| 27 November 1701 - 25 April 1744   | Anders Celsius                  | Swedish astronomer, geologist, and meteorologist, created a new temperature scale named after him |
| 28 November 1829 - 20 November 1894 | Anton Grigoryevich Rubinstein   | Russian composer, pianist, conductor, and music teacher, founded the first Russian conservatory in Saint Petersburg in 1862 |
| 29 November 1802 - 18 November 1827 | Wilhelm Hauff                   | German writer and novelist, known for fairy tales like "Little Muck" |
| 30 November 1835 - 21 April 1910   | Mark Twain                      | American writer, known for novels "The Adventures of Tom Sawyer" and "The Adventures of Huckleberry Finn" |
| 29 November 1825 - 16 August 1893  | Jean-Martin Charcot             | French psychiatrist and educator, teacher of Sigmund Freud, specialist in neurological diseases, invented the Charcot shower |
| 30 November                    | World Pets Day                  | Celebrated with the motto from Antoine de Saint-Exupéry's "The Little Prince": "You are responsible, forever, for what you have tamed" |
