| Date                      | Person/Event                | Description |
| 22 April 1724 - 12 February 1804 | Immanuel Kant              | German philosopher. One of the central thinkers of the Enlightenment. His comprehensive and systematic works in metaphysics, ethics, and aesthetics made him one of the most influential figures in Western philosophy of modern times |
| 22 April 1870 - 21 January 1924 | Vladimir Ilyich Lenin      | Russian revolutionary, leader of the October Revolution of 1917 in Russia. Founder of the world's first socialist state |
| 22 April 1904 - 18 February 1967 | Robert Julius Oppenheimer  | American theoretical physicist. Known as the scientific director of the Manhattan Project, often called the "father of the atomic bomb" |
| 23 April 1891 - 5 March 1953  | Sergei Sergeyevich Prokofiev | Russian Soviet composer, pianist, and conductor. Considered one of the greatest composers of the 20th century, creator of masterpieces in various musical genres |
| 25 April 1883 - 26 October 1973 | Semyon Mikhailovich Budyonny | Soviet military commander, one of the first Marshals of the Soviet Union. Commanded strategic directions and fronts in the early years of the Great Patriotic War |
| 23 April 1564 - 3 May 1616    | William Shakespeare         | Often regarded as the greatest writer in the English language and one of the world's greatest dramatists |
| 26 April 1900 - 30 September 1985 | Charles Francis Richter     | American seismologist. Developed the Richter scale for measuring the magnitude of earthquakes |
| 27 April 1791 - 2 April 1872  | Samuel Finley Breese Morse  | American inventor and painter. Best known for his inventions of the Morse apparatus and the Morse code |
| 29 April 1854 - 17 July 1912  | Henri Poincaré              | Mathematician, astronomer, philosopher. Known for laying the foundations of the theory of relativity |
| 29 April 1818 - 13 March 1881 | Alexander II Nikolayevich   | Russian Emperor. Known in Russian and Bulgarian historiography as "The Liberator" |
| 30 April 1777 - 23 February 1855 | Johann Carl Friedrich Gauss | German mathematician, mechanic, physicist, astronomer, and geodesist. Considered one of the greatest mathematicians of all time, known as the "Prince of Mathematicians" |
